Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
576,T1,"No. It's been 10 years of marriage, which was properly done and accepted by families & society. This affair should be over.",No. His father must be tired and stressed due to his job.,,,Yes. Agree with parents as the kid may get into habit of playing with dolls or behave childish when grown up.,,,,,
577,T2,,No. Tushar's father loves his mother.,,,Yes. He will eventually give up.,,,,Yes. She should take care of the baby.,
578,T1,,Yes. Sameer's father loves his wife. So she is not accepting Sammer's suggestion feeling what will happen to her husband?,,,,,,,,
579,T1,Yes. You pretended to be in love with me for so many years. What was missing in my love?,"No. After work, father is tired and hence ill templered, Otherwise, he loves the family. Problems are due to workload.",,,,,,,Yes. Women should be able to cook well and not necessary to do a job. Only then husband and wife will be happy.,"Yes. The girl is growning up, if she don’t take responsibilities now,when will she?"
580,T1,"Yes, She had been married for 10 years and yet had an affair. So she deserves beating.","No. It is wrong to separate mother and father, mother cannot leave father, so I disagree with Tushar","Yes. If she wears such dresses, everyone will stare at her, tease her. She should stop wearing such cloths, that's why she is at fault.",,,,,,"Yes. She should take care of home. If she works outside, who will take care of home?",
581,T1,Yes. Because she had an affair.,No. Tushar's father comes back from job tired and hence ill tempered. Tushar keeps telling mother to leave him.,"Yes. Because she wears fashionable dresses, she is at fault.",No. Because he do not want to lose his friends.,Yes. Because Vishal's parents stop him from playing dolls with his sister.,Yes. Because her brother will not allow Priya to attend the programme.,,,Yes. She should listen to her husband. It's husband's responsibility to earn for the family.,
582,T1,Yes. Because she has an affair.,,"Yes. She wears fashionable cloths, so boys tease her. It's her fault.",Yes. Shoaib should keep silence as he also want his friends.,Yes. Because his time with sisters will end.,"Because boys will tease her, hence she is asked to stay at home.",,,,
583,T1,"No. She should not be beaten up, can cause misunderstanding and one feels bad.",,"Yes. Gauri is at fault, she should wear decent cloths.",,Yes. He should not play with dolls. His parents expect him to grow as a man.,,,"No. Since her mother is not well, Roshni should take care of house and her mother.",Yes. Sarika should take care of house and kids.,Yes. Seema should take care of house and the younger brother.
584,T1,"Yes. Suresh is married to Vinita and yet she has affair, so he beat her up.",,"Yes. Because she is wearing Jeans, Short Skirts, so boys tease her.",No. He don't want to lose his friends.,,"Yes. If girls go out in the evenings, they are teased, treated badly, hence her brother is not letting her go out.",,,,
585,T1,"Yes. Because he come to know about her affair, he felt humiliated. So he beat her up.",,"Yes. As she go out, boys tease her.",,"Yes. He is a boy, not a girl.",Yes. Her mother is telling for her own good.,"Yes. Earning is man's responsibility, and he is earning enough for family.","Yes. Taking care of house, cooking, babysitting sister is her responsibility.","Yes. Arun thinks now that she is married, she should take care of house.","Yes. Since her mother need to go out and brother need to play cricket, so father is asking her."
586,T1,"Yes. Because he finds out his wife is having an affair, so he got angry,",,"Yes. When she go out, boys tease her.",,"Yes. He is a boy, not a girl.",Yes. Her mother is telling for her own good.,"Yes. Earning is man's responsibility, and he is earning enough for family.","Yes. Taking care of house, cooking, babysitting sister is her responsibility.",Yes. Better to take care of home.,Yes. Because she need to understand and take care of younger brother.
587,T1,,"No. Though father is beating mother, he loves her. So should not move to hometown.",,,,,,,,
588,T1,Yes. Her behaviour is incorrect.,No. They should live together.,"No. If she wear such cloths, boys will tease her.",,,"No. Boys misbehave , so don't go out at night.",Yes. Take care of home.,,"Yes. Listen to husband, take care of home and kids.",
589,T1,Yes. She shouldn't have behaved like this.,No. Live with father.,Yes. Because of the way she dressed.,No. Explain to friends to behave.,Yes. Because he play like a girl.,"Yes. Don’t go out at night, stay at home.",Yes. Stay at home.,,Yes. Take care of home.,
590,T1,,No. Stay with mother and father.,,,,,Yes. Do household chores.,,Yes. Do household chores.,
591,T1,,"No. Tushar should not do this, his parents love each other.",,,,,,,,
592,T1,,,,,,No. Priya should stay at home.,"No. Madhuri should explain husband to let her work, so they will move out of poverty.",,,
593,T1,"Yes.As Pranita is married, she should not be involved in affair.",No. Sameer's openion to relocate to village is wrong.,Yes.Poonam should not wear jeans and western attire.,,,"Yes. During night, percentage of girl molestation by boys is higher. Thus Nisha's brother is right ",Yes. Nisha must look after her family and household chores.,,Yes. Priyanka must do household chores,Yes. Babies are comfortable with girls only.
594,T1,Yes. I agrree. It is Vineeta's mistake. She shouldn't be involved in affair,,,,No. As a grown up he could become  a trangender.,"No. At midnight hour, girls are molested by addicts.",Yes. He is absolutely right.She must follow her husband. Only men should handle the house economy.,,Yes. Sarika should look after household chores and family.,
595,T1,,"No. Father is the breadwinner of home. If he left the family, he could have another marriage","Yes. While going to school, only school uniform should be worn and not fashionable attire.",,Yes. As a grown up he might behave girly.,"Yes. At evenings, teasing incidents are higher.",,,Yes.  Sarika should look after the baby and take rest as much as possible.,
596,T1,No. Suresh should keep an eye on Vinita then conclude about her affair.,,,,,,,,,
597,T1,,,,,,,,,,
598,T1,,,Yes. Girls should not wear short clothes.,,,Yes. After midnight girls are molested by boys.,Yes. Madhuri can go to her job only after preparing the meals and cooking is done.,,Yes. Men should look after earning . Women should Stay at home and look after family.,
599,T1,Yes. She should understand the fact that she is married and thus affair will have serious effects,No. Tushar's behaviour is wrong.,,,Yes. His parents think of his betterment and good-being.,,,,,
600,T1,Yes. Vinita is wrong. Suresh should scold her in front of parents. But beating is wrong. Parents might do this. Suresh will have another marrige then,No. Tushar's mother should report to  police.,Yes.  Why she should wear such a attire?,"No. Don't have such friends. Befriend with good people, Stsay in good locality.",Yes. He should not behave like this. Instead of playing with dolls he can watch the TV.,,,,,
601,T1,"Yes. Having an affair after the marriage is an insult to family. To prevent this insult, Suresh must beat her.","Yes. If family is split, living will be difficult for Tushar and his family. His father is head of the family. Thus his mother must cope up with his behaviour.",Yes. Modern world is not safe for girls. Girl wearing western attire is likely to be molested. Thus Gauri should take care of herself and should not carry fashionable western attire.,Yes. Humiliation and mocking by friends would not make any harm as such. Thus Shohib must remain calm. Also as school is far parents will be unaware of such things.,"Yes. As he is growing up, playing with dolls is wrong. His friend will mock him.",No. She should be accompanied by her brother.,,,,
602,T1,Yes. She must understand the fact that she is married. An affair will have severe impacts.,No. Tushar is wrong.After all as he should cope up with his father as head of family.,,,Yes. Vishal's parents are right as they think of his good-being .,,,,,
603,T1,,No. Father will be left alone,Yes. She is teased because she wear skirt and jeans.,Yes. Friends will call his hijda otherwise. ,"Yes, I don't want to become like this for others will tease me.",Yes. She is safe at home. ,Yes. It is man's job to earn moey and Madhuri therefore should stay at home and do household work. ,Yes. Only girls can do houselhold work and take care of children. ,Yes. Only girls can take care of children.,Yes. Women should stay at home.
604,T1,Yes. If she had an affair with the neighbor then she should have married him ,"No. Since father works hard the whole day he gets irritated and angry. Although he beats up, he loves them.",Yes. She knows that others will tease her if she wears these clothes. Despite this if she wears them then it is her fault.,,,"No. Even if she goes out and someone teases her, even then she can be secure. ",,,,
605,T0,,,"Yes. Gauri wears jeans, short skirt, and dresses and therefore she is to be blamed.",Shoib got angry with his friends since they touch the girls. But he should not take this lying down. ,,Yes. Girls are teased outside and they do not say this to anyone at home. Sitting at home is the best solution. ,,,,
606,T1,,No. Tushar is trying to separate his parents.,Yes. This is Gauri's choice. ,,,,,,,
607,T0,No. She was in love with another person and so he beat her up,,,,He is six years old and likes to play with dolls with his sisters.,,,,,
608,T1,,No. Because Tushar behaved badly.,,,,No. Staying at home is better for them as concern of their security.,Madhuri should earn money later it will help for us.,"Yes. Because he cannot wash clothes because he is a boy. She is a girl, that is why they tell her to do the chores.",Yes. Sarika should stay at home and Arun do the job.,Yes. Because Seema's dad loves his son more.
609,T1,Yes. Because Suresh is angry he inflicts voilence.,Yes. Because Tushar's father also loves his mother and also beats.,,,,No. She is harassed therefore should stay at home.,Yes. Should stay at home.,,Yes. She should stay and take care of kids.,
610,T1,No. They will not stop having affair because of the beating.,No. It is wrong because their family will be separated.,Yes. Because she wears short dress.,Yes. Because he does not want to lose his friends.,,Yes. She can call police via mobile.,,,,
611,T1,No. It is wrong that Suresh's wife is having an affair.,No. I find it wrong that Tushar is saying this to his mother.,Yes. She should not wear such clothes.,No. Shohib's friends should tease him.,,Yes. She should not be sent out at night.,Yes. That is a man's job.,,,Yes. Bcause Seema is going out on one day.
612,T1,Yes. They both are married.,,Yes. She should not wear such clothes.,,No. He should not play with dolls.,Yes. Girls should not go out in the evening.,No. Man should work.,,,
613,T1,,,Yes.,,,No.,Yes. Anil should give Madhuri money for her needs.,Yes. Roshni shoud feel it is her responsibility.,Yes.,Yes.
614,T1,,No.,,Yes.,,Yes.,Yes.,Yes.,,Yes. Because now a days boys trouble and tease girls when they go out. Her father did a nice job by telling her to stay at home.
615,T1,,No.,,,,,Yes. Because Anil's parents are aged.,Yes. Because Arun is a boy and Roshni is a girl. She should do such work and take care.,,
616,T1,No. Because Suresh thinks his wife loves somebody else.,,,,,,,,,
617,T1,"No. Suresh is angry, so he beats her up.",No. Tushar's father loes his mother. Tushar's behavior is incorrect.,,,,"Yes. She should stay at home, outside she can be harassed.",,,,Yes. One should work
618,T0,,"Yes, Because mother loves father.","Yes, because if she dresses simply like other girls, then none of the boys would harass her.",,"Yes because he should go out with other boys, rather than staying at home like girls. ",,"Yes, Madhuri should quit working, because her husband is earning. So, she should look after house chores.",,"Yes, because she should look after household chores. Family needs are fulfilled by husband only.",
619,T1,"No, She had affair prior to marriage and Ramesh got it to know now. So, he beat her.","No, Sameer's father drink alcohol everyday and beat his mother. So Sameer is asking to go back to their native village.","No, Poonam is also wrong because she wears jeans and shorts. Because of that boys harass her. So boys are also wrong and Poonam is also wrong.",,,"Yes, Nisha should not go out in night, because she can get kidnapped and boys harass girls. ",,"Yes, Navnath should study, because he has to earn money and take mother to hospital to cure her illness.","Yes, because she has to do household chores and she should have a child.","Yes, Nina should stay at home on Saturday, because baby should grow up properly."
620,T1,,,"Yes, because if (Poonam) wears such short clothes, boys are going to harass her.",,"No, Chetu wants to play like that. So, it is Chetu's parent's mistake.","Yes, because if she goes out (late) then, boys will harass her.","No, Mahesh should quit current business and get bigger job instead.","Yes, If mother is ill we should take care of her. As, mother also looks after us.",,
621,T1,"Yes, because Ramesh got to know about Pranita's affair.","No, because Sameer's mother loves Sameer's father.","No, because she should not wear jeans, T-shirts.",,,"Yes, because girls are harassed in the evening.","Yes, because he is responsible for family.",,,
622,T2,,"No, they should stay together.","Yes, because she wears such clothes.",,,"No, boys will harass, she must not go out.","Yes, Madhuri should listen to Anil.",,"Yes, Sarika should stay at home and take care of children.","Yes, Seema should be allowed to go."
623,T1,"Yes, she deceived him so he should beat her.","Yes, after all he is her husband she should bear him.","Yes, she should wear such weird clothes. So that boys will not harass her.",,"No, because he will follow habits of girls.","No, because many boys harass girls in the night.",,,,
624,T1,"Yes, because she is married to Suresh.","Yes, because Tushar's mother should cook early.",,,,,,,,
625,T1,"Yes, because ten years completed to marriage she should not do this.","No, because his mother can't live without his father.","Yes, because she is a girl. She should dress up like a girl.",,"Yes, because men should behave like men.","Yes, because she is a girl. She cannot go out in the late.",,,,
626,T1,"Yes, Vinita has done wrong.","No, only father can take care of mother.","Yes, Gauri should wear proper and descent clothes.",,"Yes, he should not play with dolls.","Yes, how will she come back in night. Boys will harass her.",,"Yes, mother is not well. She should take care of house.",,"Yes, she should take care of baby."
627,T1,,"No, this is childish thought.",,,,,,,,
628,T1,"Yes, If she loves somebody else then Ramesh can beat her.",,"Yes, She should not wear such clothes. She should wear a saree.",,"Yes, boys should not play with dolls.",,"Yes, women should not work.",,"Yes, Priyanka should listen to her husband and should not start the business.",
629,T1,"Yes, Pranita should be beaten. So that she will get the message.","No, they should not fight. Family should stay together. ","Yes, she should not wear short dresses, otherwise boys will harass her.",,,,,,,
630,T1,"Yes, because despite being married she had an affair.","No, because Tushar's father also loves Tushar's mother.","Yes, she is teased because of her clothes.","Yes, Shoaib's friends mock him.","No, because parents feel Vishal should grow up to be a real man. ","Yes, boys will harass her outside.","Yes, She should do household work.",,"Yes, she should take care of the house.",
631,T1,"Yes, because she has done very shocking thing.","No, because they should stay together.","Yes, because she should not wear such clothes, then nobody will tease her.",,"Yes, because other boys will tease him when he grows up.",,,,,
632,T1,,,,<Unclear to translate>,"No, because he is a boy and not a girl.","Yes, she should stay at home.","Yes, he should go to shop.","Yes, because girls should stay at home.","Yes, she should stay at home",
633,T1,"Yes, She should not have behaved this way.","No, Should stay with his father.",,,,,No. She should stay at home.,,Yes. She should take care of children & do household work.,
634,T0,Yes. Suresh thought that Vinita is having an affair.,"No. Father gets irritated, so leave father & stay at village with mother.",Yes. Gauri likes to wear fashionable clothes. Her school friends tell her the same.,,,Yes. Priya is 19 yrs old.,,,,
635,T0,Yes. Suresh thought that Vinita is having an affair.He should hit his wife.,,Yes. Gauri likes to wear fashionable clothes. Her school friends tell her the same.,,Yes. Vishal is 6 yrs old &  he should play with his sisters & dolls.,"Yes. Priya is 19 yrs old & boys will tease her, so she does not get permission to go out.",,,NA.,"Yes. Seema has school on Saturday, but her father tells her to take care of baby."
636,T0,Yes. Suresh thought that Vinita is having an affair.He should hit his wife.,,Yes. Gauri likes to wear fashionable clothes. Her school friends tell her the same.,,Yes. Vishal is 6 yrs old &  he should play with his sisters & dolls.,NA.,,,NA.,
637,T1,,"No. If we leave father, his father would feel bad.","Yes. Gauri should not wear such clothes, then boys will stop teasing her.",,,,,,,
638,T1,,"No. If we leave father, his father would feel bad.","Yes. Gauri should not wear such clothes, then boys will stop teasing her.",,,,,,,
639,T0,"Yes. She was cheating Suresh, so she should be beaten a little.",No. He should explain his father because he works all day long & gets irritated. Should not leave home.,"Yes. Gauri should not wear such clothes, then boys will stop teasing her.",,,,"Yes. Madhuri should keep her money in bank, as they can be useful at any time.",,,
640,T1,Yes. He should make her understand & warn her.,"No. If we leave father, his father would feel bad.","Yes. Gauri should not wear such clothes, then boys will stop teasing her. Also her friends too wont say anthing.",,,,,,,
641,T0,Yes. Because she loves another person.,,,,,,,,Yes. She should do household work.,Yes. Only she can take care of younger brother.
642,T1,"Yes. Because after marriage, she has affair with another person.",,Yes. Gauri is influenced by her school friends & hence her behaviour. That is the reason for her trouble.,,Yes. Vishals parents are worried for him. They worry that he will become transgender in future. They want him to become a man & hence asks him to stop playing with dolls. ,,,,,
643,T1,,Tushar's father gets angry so he beats her up,When she walks down the road boys whistle and tease her due to kind of clothes she wears,,,,,,Sarika should take care of house,
644,T1,Her behaviour was wrong,Everyone should stay together,She was harrassed due to her clothes,He should not lose his friends,,The brother should accompany her,,,Should stay home and listen to her husband,
645,T1,,,She should wear decent clothes,,One comes to know about a person from how one plays,The solution was that someone should go with Priya,,,Sarika should say if she goes out who will take care of the house,Girl has to take care of house. It's not right to send girl alone anywhere
646,T1,Because she betrayed Suresh,Since his father has come back from work he is ill tempered,,,Because we should do what our parents tell. They never say anything wrong,,,Because Arun should concentrate on studies,She should manage house and take care of children,Because it is important that Seema takes care of her younger brother
647,T1,Because despite having a husband she had an affair,,Because she wears short clothes,,Because he will continue to play with dolls when he grows up,"Since it is night time, she may be harassed",Madhuri should stay at home,Arun is a boy so he should study,Sarika should stay at home and take care of children,Because a girl should take of younger brother
648,T1,Because Vinita had an affair with a neighbour,Tushar should not have asked mother to leave father,Because she wears new clothes everyday,,,Nowadays there is lot of violence against women,,,,Girls can be harassed anywhere
649,T1,,,,,,,,,,
650,T1,She is having an affair with another person. She must be beaten,Because whe will not get the love of her husband therefore she should not leave him,Becase of her teasing boys tease her so it is her fault,,Because he lives like a girl. He should not do that.,,,,,
651,T1,She did wrong. He committed suicide,Tushar should not have asked mother to leave father,,,He is a boy so he should be like a man,,,Because she should take care of house,She should manage the house and Arun should work,
652,T1,Because should not have such love affair,Because father cannot live alone,She should not wear such clothes,,He is a boy . He should not do this,What if she is molested?,She should do household chores,She has to do that work,She should stay at home,She has to take care of baby
653,T1,"Yes, As she is in love with someone else",,,The girl who is been teased should inform her parents,"Yes, you should behave when young so that you grow up to be a right person.","Yes, because she will go out and will be troubled by the boys.","Yes, As women need to stay at home","Yes, because the mother is unwell and someone needs to take care of the kid.","Yes, Her mother cant take care of the baby and she is a ""girl""",
654,T1,"Yes, why should she be in a relationship with someone else.","No, Tushar's mother should not listen to Tushar. Her husband loves her and fights too.",,,,,,,,
655,T1,," No, tushar Father beats heer  but leves her too. They should not got to the village.",,,,,,,,
656,T1,"Yes, Because Vinita is married and it wrong to tbe unfaithful","No, Tushar is wrong to advise mother to leave father if he has committed mistake.","Yes, As she wears fashionable clother she is teased.",One should not be a spectator when a girl is harassed.,"Yes, Boys should not play with Dolls. Boys should play with toys meant for them.","Yes, because she will go out and will be troubled by the boys.",,,,
657,T1,,,"Yes, If she starts wearing slawar she wont be teased in the lane",,,,,,"Yes Seema thinking is wrong, her elser brother cannot take care of the young brother.","No, If the women is smart she can start her business."
658,T1,,"Yes, Because father loves us a lot.","No, She shouldn’t wear such clothes",,"No, the habit will remain with him even when he grows up. He should stop immediately.","Yes, because boys harass girls at night.",,,,
659,T1,"No, she should not have done this","Yes, Because father loves us a lot.","No, She shouldn’t wear such clothes",Because every girl should be treated as our sister.,"No, the habit will remain with him even when he grows up. He should stop immediately.","Yes, because boys harass girls at night.",,,,
660,T1,,"No Even if tushar' father beats his mother, he loves her. That’s why they should not leave him.",,,,,,,,
661,T1,,,"Yes, she is wearing improper clothes hence is the target for such criticism",,,"Yes, Social events are good and must be attended.",,"Yes, Girls should not go out too much",,
662,T2,,,,,His parents should allow him to do as he likes.,Rahul should accompany Priya and protect her. That is the only good option.,,,,
663,T0,,Tushar is trying to separate his mom and dad,,,Not clear,Meaning not clear,,,,
664,T0,Vinita is having an affair with neighbour.,,"Gauri likes to wear jeans, shorts, skirt, dressess and t-shirts, because neighbours do not help her.",Shoib should keep quiet as they stare the girls.,,,Sarika should work and fulfill the required needs,Because he should study,He should work..,
665,T1,,Mother loves his father a lot.,"Yes, it is Gauri's fault. She should not were jeans and this type of clothes. If she does not, then boys will not herass her.",,,,,,,
666,T0,"Yes, His wife has affair with some other person, That is whay he beats her.","No, Suresh separated his parents",,,"Yes, Because he is grown up, he should not play with dolls.","Yes, Because there are police in the college, she should go.",,"Yes, because she should learn",,
667,T1,,,,,"No, he is a man, so he should play boys games, then only he will be able to do a good, big job.","Yes, girls should not go out at night, boys tease them",,,,
668,T1,"Yes, because she is already married. Still she is having an affair.","No, because Tushar's mother loves her husband a lot and his father also loves her too.","Yes, her behaviour is  wrong. She should live like other girls so that she will not get into trouble.",,,"Yes, because if she had gone out of the house last night, there would have been same misdemeanour with her",,"Yes, because Arun should concentrate on study","Yes, Sarika should take care of household and her baby.","Yes, seema's son is elder and he can take care of himself."
669,T1,,"No, his father come back home after doing  a stressful job so he beat her up.","She wear jeans, short dress so boys plays whistle after seeing her. She should get married at the age of 18.","No, they should be beaten.","Yes, he should not play such games.","No, but she can get molested.",,,"Yes, she should take care of household chores.",
670,T1,"Yes, because she may get into another affair and roam around with him","No, because husband comes home and beats tushar's mother. Anybody can take a decision like him.","Yes, because she wears short clothes so anyone will harass her. She should wear full clothes.",,"No, if he plays with dolls he will behave like girls. And if that continues, then who will take care of his parents.","Yes, if she will roam around in evening then vagabond guys will tease her. So I agree","Yes, she should take of household chores and he should look after family needs.","Yes, because Roshni should look after baby and Arun should study further and do well in life.","Yes, he will work and she will look after home","No, she has a right to travel and enjoy."
671,T1,"Yes, because she is married and she is into a relationship","No, because his father work all day and come back home tired.",,,Can't say,Can't say,Can't say,Can't say,Can't say,Can't say
672,T1,Yes. He should not have beaten her up but make her understand.,No. Father will be left alone,Yes. She is teased because she wear skirt and jeans.,Yes. Friends will call his hijda otherwise. ,"Yes, I don't want to become like this for others will tease me.",Yes. She is safe at home. ,Yes. It is man's job to earn moey and Madhuri therefore should stay at home and do household work. ,Yes. Only girls can do houselhold work and take care of children. ,Yes. Only girls can take care of children.,Yes. Women should stay at home.
673,T1,Yes. If she had an affair with the neighbor then she should have married him ,"No. Since father works hard the whole day he gets irritated and angry. Although he beats up, he loves them.",Yes. She knows that others will tease her if she wears these clothes. Despite this if she wears them then it is her fault.,,,"No. Even if she goes out and someone teases her, even then she can be secure. ",,,,
674,T0,,,"Yes. Gauri wears jeans, short skirt, and dresses and therefore she is to be blamed.",Shoib got angry with his friends since they touch the girls. But he should not take this lying down. ,,Yes. Girls are teased outside and they do not say this to anyone at home. Sitting at home is the best solution. ,,,,
675,T1,,No. Tushar is trying to separate his parents.,Yes. This is Gauri's choice. ,,,,,,,
676,T0,No. She was in love with another person and so he beat her up,,,,He is six years old and likes to play with dolls with his sisters.,,,,,
677,T1,No. He should explain to his wife.,No. Tushar and his mother should understand that his father comes home drunk and hence behaves this way.Once he quits drinking he will be better able to understand. ,,,Yes. Vishal should stop playing with dolls. He will turn out to be a man with feminine (womanly) habits.,Yes. She should not be allowed to step out in the evenings. There are boys at every street corner who ogle and lech at them from head to toe. So girls should not be sent outside.,,,Yes. Sarika's wish to work is an abstacle fro her husband's progress. Sarika should stay at home. ,
678,T1,"Yes. They have been married for 10 years.As Priyanka has accepted that she has extramarital relations, so it is correct for her to be beaten.",,,,"Yes. Going forward he may start behaving like a girl, hence I agree with the parents. However as he has two sisters, he can be allowed to play for a little while. ",,,,,
679,T1, I think Priyanka is deserving of such physical violence.,,Yes. Vrushali is at fault for inviting such jeers.,,Yes. I agree with Akash's parents.,Yes. Asking Nirmala to stay home is the best way to keep her safe. ,Yes. I agree with Amir. ,,Yes. I agree with Mahindra. ,Yes. I agree with Manisha's father's decision. 
680,T1,"Yes. Given that she is already married, she should not have done this. As she is it at fault, she is deserving of the beatings. ",No. She is dependent on him (the husband). Her parents chose this man. She must live with him all her life. ,,,,,,,,
681,T1,"Yes. Given that she has a husband, she still had an affair with another man. She should not have done this. As this is her her fault, she is deserving of the beatings.","No. As his father has a job, he looks after the family. Also as his parents are marries, they have to live together forever. ",,,,,,,,
