Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
470,T2,,,,"Shohib should explain the issue nicely to his friends, he does not like it with his friends but he tells them. ",No - The boy should be taken to the garden or for a picnic. ,"No - Priya is a 19 year old college student, the program should be  arranged but someone should go with her.",,"No - Roshni is 14 years old and her brother Arun is 15, Roshni and Arun should do their mother's work.",No,No
471,T2,,Yes - Because if she is not at fault she should tell that to her husband.,,,,,,,,
472,T2,No - Vinita should have explained the situation to Suresh or to his parents.,No - They should explain it to Tushar's father then he definitely will not get angry.,,No - Shohib should complain to the Headmaster,,No - She should tell her brother to drop her to college,,,,
473,T2,No - Vinita is not at  fault for such beating because Suresh too should love her  ,No - Tushar's mother can try to explain the issue to his father when the father is in a better condition that might bring about a change in Tushar's father.,,,No - Sushil will slowly leave this habit if his parents try to gradually explain it to him.,,,,"No - If both of the earn then they will not only have enough for thir expenses, but will also have money in times of difficulty.","No - Seema must be taking care of the child everyday, her  brother should take care of the child on one day."
474,T2,No - because Suresh was in love with Vinita and she hurt him. They should sit together and discuss the issue.,Yes - No becuase if Tushar's parents separate it will have an effect on his upbringing. They should calmly discuss the matter. ,,No - because they are not good students. Shohib should leave their company and complaint against them.,,,,,,No - Because Seema's feelings were hurt and it could affect her studies that's why her older brother can look after the younger brother till Seema gets back.
475,T2,No - It is wrong for Suresh to beat his wife.,,,"No - Shohib's friends touch girls' hair, Shohib does not like this so he can tell his friends that. Shohib cannot stay upset as what his friends are doing is wrong. ",,"No - Priya's brother says that she should not go out in the evening, but what he says is wrong.",,"No - She has a brother, he too can cook.",,
476,T2,No - He should explain it to her.,No - It is wrong to get angry with the mother.,,No - It is his human right.,,No - Her brother can accompany her.,,No - Arun can do the the chores too.,No - She should open a beauty parlour.,
477,T2,No - Because Suresh is doubting and beating his own wife.,No - Tushar's mother loves his father and she is ready to bear anything.,,"Yes - Shohib should not tease the girls, he should not touch their hands.",,"No, Priya's brother should send her to the college program.","No - Madhuri too should work, becuase the house cannot run on just one person's income.",,,No -  because Seema should go to the picnic.
478,T2,No - Becuase Suresh should explain to his wife.,,No - Gauri should wear whatever clothes she wants to.,Yes - Because Shohib should explain to his friends.,,Because Priya's mother should inform the police.,No - Because Vishal should allow Madhuri to work and earn.,No - Roshni is 14 years old and has a brother. Her mother tells her to work.,,
479,T2,"No, he hit her.",No - They should not go to the village because then who will look after Tushar's father.,,No - Because he should explain to his friends.,,No - Because her brother can accompany her.,No - Together they can earn more money which can be of use someday.,,No - Because she too can work and if both of them work they can earn more money.,No - Becuase her older brother can look after their younger brother.
480,T2,No - It is wrong because he should explain it to his wife.,Yes - Tushar should tell his father to not insult Tushar's mother and to behave well.,No - She should tell her parents and should lodge a police complaint.,"No - He should explain it to his friends and should complaint to his parents, he should also tell the girls his name.",No - When he gets older he will realise that he should not play with dolls.,"No - This is wrong, if her brother goes along with her then she will have nothing to fear.","No - If they both work, they can both earn money.","No - If Roshni goes to school, then her brother can stay at home. They both can take alternate days off to look after their siblings.",,No - The brother should look after the child on one day while Seema can go for the picnic.
481,T2,No - Because Suresh should explain it to his wife.,No - Because Tushar should explain it to his father and everybody should behave in a way so as to not anger his father.,,"No - He should explain it to his friends, and if they do not listen he should inform their teacher or the police.",Yes - Because now he should go to school.,No - Because she should take her brother along.,No - Becuase they both can earn more money and do soemthing with it for their future children.,,,
482,T2,No - ,No - They cannot leave the father alone.,,"No - Teasing girls should not be done, it is wrong, he should explain to his friends.",,,No - Because Vishal should let Madhuri work.,,,
483,T2,"No - He should not hit, he should explain it to his wife.",,,,,,Yes- She should do the house work and should help her husband.,,,"No - Everybody is going so she should get to go too, her brother can do the work on one day."
484,T2,No. ,,,No. ,No. Because Sushil is still young.,No. Since Priya's brother could accompany her for safety.,No. Women should also(be able to) work.,,No. Sarika's 6 months shouldn't go wasted.,
485,T2,No. Suresh Shouldn't have hit Vinita.,,,No. Because Shohib does not like it.,No. Because Sushil is very young and he doesn't understand.,No. Priya's brother should have gone along.,,,,
486,T2,No. Because attraction happens to everyone.,,,No.,,,No. Because Madhuri is giving her time to the job and earning for the family. She should earn extra money to save.,,No. Because both of them working is a neccessity and Sarika should also get a chance to try her hand at what she likes.,"No. Nina and her brother aren't allowed equal rights. Her brother can skip cricket for one day but Seema might not get the chance to go for a picnic again since one she is married, she will not get to move around."
487,T2,No. Suresh hitting her wife is not fine.,No. Because Tushar's father should instead talk with patience and love after coming back from work.,No. Because Gauri will endure being teased by the boys.,No. Because what Shohib did was right.,No. Because what Sushil is doing is alright.,"No. Because if Priya doesn't go to the school programme, she wouldn't know how such programs usually go / are conducted.",No. Because Madhuri's rights are the same as Vishal's.,,,
488,T2,,,,,,,,,,"No. Because girls don't get to go out with their female friends while on the other hand, cricket can be played anyday."
489,T2,,Yes.,,No. The girl should have informed her parents and the cops who would ensure that such a thing doesn't recur.,,,No. Both should have a job and earn.,,,No. Seema's mother should ask Seem's elder brother to look after the child for one day and let Seema go for her picnic.
490,T2,No. Because Vinita has the right to independently chose her groom.,Yes. What if something happens to Tushar's mother(if she gets hurt),,,,,,"No. Both, Roshni & Arun can divide the work.",No. Sarika has the right to roam around with freedom.,
491,T2,,,,,No. Because Sushil is young and he doesn't understand anything.,No. Priya's brother should have gone with her.,No. Madhuri should work.,,,
492,T2,No. Because she only loved him. Suresh should've asked Vinita (to confirm),,,"No, Because Shohib is not interested in teasing other girls. Hence, what is does is correct.",No. Because Sushil is young and he doesn't understand anything.,No. Priya's brother should have gone with her.,No. Madhuri should work.,"No. Because Arun is older than Roshni. Hence, he should have done the chores.",,
493,T2,,,,,,,,,No. Vinod should not have a thinking like that.,No. Seema's brother should work.
494,T2,No. Because it's been 10 years that she has been with Suresh so she should not have cheated on him.,No. Because Tushar should have a discussion with his father.,No.,Yes. Because Shohib is speaking what is right.,,No. Because Priya should be allowed to take her brother to the program.,No. Because Madhuri is looking to grow.,,,
495,T2,No. Because Vinita should understand Suresh.,Yes. Because what if something happens to Tushar's mother.,,,No. Because Sushil is young so he can play.,No. Because there were more solutions.,"Yes. Because there could be days when they might need additional money. Hence, Vishal & Madhuri need to earn extra income to save.",,,No. Because Seema's brother can skip playing cricket for one day.
496,T2,,,,"No. Because Shohib should explain to them that we also have sisters. Hence, teasing other's sisters is not the right thing.",,,,,,"Seema's parents should undersand that this day will not return for Seema. Hence, they should allow her to go."
497,T2,,,No. Gauri likes fashion. She can do anything which she desires.,No. They are doing wrong. Shohib is doing the right thing.,,No. Because it is wrong.,,,,No.
498,T2,,,No. Because Gauri likes it.,,No. Because Sushil also has the right to play.,No. Rohan should go with Priya to the programme.,No. Madhuri should explain it properly to her husband.,No.,No.,No.
499,T2,,,,No. Shohib should not remain silent.,No.,No. The girl should be allowed to go to the programme.,No. Madhuri should work.,,,
500,T1,No. Mahesh should explain to her,,,No. Rohitś friends should not stalk girls. Rohit should not do this.,Yes. Parents should not do this,,,,Yes. Not clear.,
501,T1,No. She should be made to understand. He should verify and only then he can say.,"Yes. After coming back from work , father should remain calm and without getting irritated he should sleep or watch TV even if he is angry ",,No. He should complain to the teacher and try to rectify the friends behaviour. ,,No. Its important for her to go for the programme. She is being denied her right to go out independently,,,,
502,T1,No. He should give her a second chance,,No. She eants to be fashionable. People should understand that she is just following the fashion. ,No. (not translated),,,No. They work together and this will benefit them.,,"No. If his wife is earning money , that is good. The will benefit from this. ",
503,T1,No. Not Clear,,,No. Rohit told his friend not to tease the girls. All girls are like our sisters.,,,,,,
504,T1,"No. After 10 years of marriage, he should trust her. It is wrong to hit her. ",,No. Because of her short dress boys will tease her. ,No. Rohit should tell his friend not to tease girls because we also have sisters. ,,"No. With Nirmala, her brother should  go. ",,,,
505,T1,,,,Yes.Explain it to friends.,,,,,,No. She likes to go for a trip. Father should send her. 
506,T1,,,,No. (not translated),,No. (not translated),No. (not translated),,No. (not translated),No. (not translated)
507,T1,"No. He should inform her family and his family , then take the decision together. ",,"No. If she likes to learn about fashion, then she should be supported.",No. He should leave such friends. ,,No. Not clear ,,,No. He should allow her to be a hairdresser but she should also take care of the house as well. ,
508,T1,,,,No. Rohit should explain them that they are like our own sister. They should not do this.,,,No. (not translated),,No. She can go out and do the job. ,
509,T1,,,,,,No. Her brother should go along with her. He can protect her and she can enjoy the programme ,No. Women also have the right to work. He should give her the permission. ,No. Akshay should do household chores.,,
510,T1,,No. It is wrong to beat.  Should explain to him.,,No. Explain to them. Should not do this.,,"No. If she likes , then she should be given permission. (not clear )",No. Understand her and give the permission to work.,,"No. If she can learn, then can do the work. ",No. Should give her the permission to go for a trip. 
511,T1,,,,No. His friends tease the girls and thatś why he is stopping them.,,,No. She has the right to work.,No. Neha´s mother is wrong. Send then to school. ,,No. Her brother can also take care of the baby child . 
512,T1,,,,No. He should explain them. ,,No. She should go for a programme and her brother should protect her. ,,,,
513,T1,No. No need to beat her. Should try to explain and make her understand,,No. This girl is like our sister. So dont tease them. ,No. Boys should think that they are like our sisters.,,No. (Not translated),No. She should  also think of taking responsibility of the house,,,No. Her brother can take care of the baby
514,T3,Suresh should not have beaten her. He inflcited violence. Suresh should make vinita understand  ,,,No. Shoeb cannot see injustice against women. Shoeb should make his friends understand that this is wrong and they can be punishes if complained is made.,,,,"No, even boys hsould be asked to do household chores. If women have taken the responsibility of household chores, it doesnt mean men should get concession",,
515,T3,,,,,,,,"He should also help. If he helps, mother will recover faster. they both should work",if she wants shr should open her parlour and the money she earns can be spend on her children. thats why she should work,
516,T3,"No, he should have asked her before marriage if she is in love with someone else",,,Shoeb should make his friend undersand. What if in her place it was their mother or sister,,Nisha's brother should drop her and wait till program to get over and pick her up from the program,Both should earn so that both can fulfill financial nees of the house. thats why vishal should not think that way,,,Seema shold be allowed to go for the trip as it happens once a your. her brother can take care fo the younger sibling for one day
517,T3,Suresh should not have beaten her up. ,,"No, Unclear",,"Yes, [copiedquestion]",,,,"No, [copied question]",
518,T3,He should maker her understand,,,,,"Priya should be allowed to go to program or sombody should accompany, if somebody is with her then she can be taken care of",,,,seema should gpt fpr picnic as it happens once a year
519,T3,He should talk to vinita without beating her up ,,,,Parents should allow him to play,,,,,
520,T3,They can talk and resolve and if he makes heer understand she will listen,NA,,,,We can send girls because of certain issues. The brother can accompany her and take care of her ,,,,
521,T3,,,,Shoeb should tell boys that you will achieve nothing out of it  and complain their mother father.,"If likes to play with the dolls, he can play with the dolls",,,,,
522,T3,Suresh should trust Vinita,,,he should make them understand and aslo inform their families,He is a child thats why he plays,,,,,
523,T3,She should made to understand,,,One should make those boys understand,,Brother should accompany her,,,,
524,T3,She should tell her husband what is the truth,"Yes, because he cares about his mother",,he should make his friends understand,,Brother should accompany her,,,,
525,T3,He doesnt have proof. Then why beat,"No, he should be made to understand , there should be dialog",She has right to wear fancy clothes,They should be made to understand. Inform Teacher,,"Its her liking, she should go, father or brother should accompany",She should go to work after having done household chores,"she is girls, she should work but brother should also be asked for a day",,
526,T3,,,"No, Mothers of the boys who tease her should be informed and there should be polica compplaint made against them",Shoeb should make his friends understand that this is wrong. he should ask them to place their sister instead of her,,"She has right roam freely, She has right to protect herself",,,,Even her brother should take care of the younger sibling otherwise she will feel that she alone does all the work
527,T3,"No, [unclear]","yes, [unclear]","yes,  [unclear]","no, harassment should be stopped","no, [unclear]","no, she should be sent to the program",,,"no, she has right to work",
528,T3,he should not have beaten her up but make her understand,,,His friends are wrong,,"She is 18, she has right to wander",She has right to work,Roshni has right to work,,"No, because she wants to go for picnic"
529,T3,"yes, [unclear]",,"No, Gauri wears fashionable but community people's attitudeis bad","No, shoeb should make boys who letch understand by talking","No, [repeated question]","No, [repeated question]",,,"no, the husband doubts her thats why he is not sending","No, because even she has life"
530,T3,,,,There should be no harassment in society,"He is young, he doesnt understand",No,,,She has right to fo Beauty parlour work,"No, They make him do all work "
531,T3,,,,They should be made to understand their mistake,,"She should be allowed to go , she will learn something new",She should tell that she has right to work,,,No
532,T2,,,,,,,,,,
533,T2,,,,,,,,,,
534,T2,,,,,,,,,,
535,T2,,,,,,,,,,
536,T2,,,,,,,,,,
537,T2,,,,,,,,,,
538,T2,,,,,,,,,,
539,T2,,,,,,,,,,
540,T2,,,,,,,,,,
541,T2,,,,,,,,,,
542,T2,,,,,,,,,,
543,T2,,,,,,,,,,
544,T2,,,,,,,,,,
545,T2,,,,,,,,,,
546,T2,,,,,,,,,,
547,T2,,,,,,,,,,
548,T2,,,,,,,,,,
549,T2,,,,,,,,,,
550,T2,,,,,,,,,,
551,T2,,,,,,,,,,
552,T2,,,,,,,,,,
553,T1,,,,"No, he should stop hanging out with those boys. He should leave their company.",,,"No, her money too will help them make a living and if both of them will earn then there will be more money.",,,"No, he should tell her brother to stay at home."
554,T1,,,,"No, Shoaib should complain about these boys to the police.",,"No, because the elders in her family, mother dad or brother can accompany her to the event.",,,,
555,T1,,"Yes, because Tushar does not like the way his father behaves.",,"No, he should tell his friends not to do such things.",,"No, she should be allowed to leave or someone should accompany her.",,"No, she should ask both of them to work.",,
556,T1,"No, because if she is having an affair it means Suresh is not giving her enough love or time.",,,"No, Shoaib should try and explain to his friends that they should respect all girls like they respect their sisters.",,"No, It's wrong to ask Priya to stay at home. If it is the question of her harassment then his brother should accompany her.","No, Madhuri should work and save money because it may be required in emergency.",,"No, She should work, both of them should work and make money.","No, because their elder brother can also take care of their elder siblings for one day."
557,T1,"No, because he can make her understand wihout beating her.","Yes, because no son can tolerate his mother's insult.",,"No, because it is a sin to tease a girl so Shoaib should leave the company of his friend's","No, because he likes to play with toys, but he can change when he grows up, so don’t stop him from playing now.",,"Yes, Madhuri should be allowed to do her work.",,"No, hairdresser.","No, because her father should tell her elder brother."
558,T1,,,,"No, you must never harass girls.",,,,,,
559,T1,,"Yes, so that she can stay safe",,,,,,,,
560,T1,,"Yes, Tushar's father should take care.",,"no, one should not stare at girls",,,,,,"No, Seema can grow from her experience there."
561,T1,,,,"No, he should expain to them that what if someone harassed your sister, how would you feel.",,,"No, Madhuri should tell Anil that we both will earn more money and do something about our house.","No, this is not right because their mother is not well they should take care of her and contribute in household chores.",,"No, because it's no trouble for the elder brother to sacrifice cricket for a day, he too can take of young children"
562,T1,,,,"No, you must never harass girls.",,,,,,
563,T1,,,,No. It is wrong to do this to girls.,,,,,,
564,T1,,,,No. Because Shoaib should not be bothered. Live like brother and sister.,No. Because they thoght everyone played Kabaddi that's why they think to stop. I diagree.,No. don't harrase her. Think like all are brother and sister. So I disagree.,No. Madhuri should give money to him. Save money and deposite in bank. So I disagree.,,,No. Younger kid should be taken care by everyone in the family and everyone should be allowed to go everywhere. So I disagree.
565,T1,,,,No. He should explain his friends.,"Yes. His age is to play, he will play only.",No.,. She should protest against it.,No. Men should help women while they are doing household things.,No. Women also have right to do the job.,. Because her elder brother can also help to household chores.
566,T1,No. He should talk with Sunita.,,,No. Shoaib should explain his friends and they should understand this.,,,,,,
567,T1,,,,"No. Because In that place if his mother or sister would have faced such humiliation, would Shoaib sit silent? So I disagree.",,,,,,
568,T1,,,,Yes. Shoaib should explain his friends to help them improve.,,,,,No. Women also have right to do job.,
569,T1,"No. If he has any relation with other, so not to get married with Vinita.","No. Instead of leaving home, he has to explain and convince his father.",,"No. No matter if he lose his friends, he should help the girl.","No. He is still a kid. Once grown up, he will become a real man.","No. Because for social programme, she could go along with her mother or brother.","No. If Madhuri earn more or Anil, as long as family needs are fulfilled, that's enough.",No. Roshni and Arun should let their mother take rest and themselves take care of home.,"Yes. Because Sarika wants to start her own business, then she should. They will fulfill the family needs jointly.",
570,T1,,,,"Yes. Don't tease them, he has to tell this.",,,,,,
571,T1,,,,,,No. Why do we allow such things to boys and disallow girls? Solution could be to send her brother with her.,No. She should protest it.,,No. She has to work as well as take care of home.,
572,T1,,"No. If his mother got beaten up and something happens to his mother, what can be done?",No. We can wear what we like.,,No. His habbit is quite good.,Yes. Girls have equal rights.,No. Girls and boys hold equal rights.,,,
573,T1,,No. His father gets angry and beat up his mother.,,No. His friends teases girls. So Rohit said that to be stopped.,,,,No. Neha's mother is wrong. Both the kids should be allowed to go to school.,,
574,T1,"No. Because of her childhood love, she knows how he is, how he behaves. She may not deserve this.",Yes. He is correct in telling to move to hometown.,,,,No. Her father or brother can accompany her.,"No. If both work, they will earn more and fulfill family needs.",Yes. She is telling only her daughter to work. Only girls don't have to do this. Studying is also important.,"No. If tomorrow Mahindra's income source stopped, what will happen?",
575,T1,,"No. Do not beat without a reason, understand your own faults.",No. It's not her fault. They should not behave like that.,No. Should complaint to the police.,,"No. If she likes it, then she should be allowed to attend.",No. Both can earn equally.,"No. Everyone should share the work, as the home is for everyone.",,No. Let her go. Don't treat her like that.
576,T1,,,"No. Poonam has no fault, if she likes fashionable dresses. The boys teasing girls have bad attitude.","Yes. Either the friends should be explained about their behavior or break the friendship, so that they understand.",,No. She should be allowed to attend it. Her brother can accompany her for safety.,,,,No. Everyone in the family should be made aware of the situation and she could adjust a bit.
577,T2,No. She should be counselled.,,,No. He should tell them to treat her as a sister.,,Yes. She should be allowed to go.,No. He should stop working in the shop as she earns better.,No. She has studies as well.,,No. Her brother can take care of younger one after his cricket activities.
578,T1,No. It could be his misunderstanding that she is having an affair.,,,"No. Even if he is homosexual, he has rights to express it.",,,Yes. Both are equal.,,No. She has full rights.,
579,T1,,,,"No. If the friends do not rectify themselves now, when will they? It will be problem for them in future and their attitude will never change.",,,,No. She should study as well.,,
580,T1,,,,No. This doesn't suit Shoaib's friends and they are not listening to Shoaib. Shoaib should not keep silence.,"No. He is anyway a man, just by playing with dolls doesn't make him lose his manhood. So parent's behaviour is wrong.","No. Not letting Priya go out is not the only way to keep her safe, there are ways to take of safety. It's wrong to ask her to stay at home.",,,,No. This is incorrect behaviour.
581,T1,,,,,,,"No. Because Anil gets less money, and Madhuri gets more money.",No. Mother should tell both of them to concentrate on studies.,,
582,T1,,Yes. Tushar is telling mother we will leave father and move to the hometown.,,,,,"No. Just because she earns more, he is asking her not to keep working.",No. Mother should tell both to concentrate on studies.,No. Sarika should explain him.,No. Seema's father should send her to picnic.
583,T1,,Yes. Tushar's father should take care of him and manage his job.,,,,"No. Priya is a smart, good girl. Her family is reluctant to let her attend the programme as someone may misbehave with her.",No. Madhuri should work so that they can together manage the house.,,,
584,T1,,,,,No. Vishal is only six years old.,,No. She should work as she like.,,"No. She is a hair-dresser, she needs to work out of the house.","No. Her elder brother can take care of younger one, instead of going for cricket."
585,T1,,Yes. He is telling mother to leave father and move to hometown.,,No. No one should misbehave with girls.,,,,,,
586,T1,,"Yes. His father is humiliating and beating mother, so he is asking her to move to hometown.",,Yes. No one should tease the girls.,,,,,,
587,T1,,,,No. Shoaib should explain his friends to treat them like sister or mother.,"No. Once he grow up, he will not play with dolls.",No. Let Priya go outside.,No. Let Madhuri do her work.,,No. Sarika should balance her work and manage home as well.,No. Let her go to picnic.
588,T1,,,,No. Tell it at home to elders.,"No. Just a kid, let him play.",,,No. Let both of them study.,,No. Let Seema go as well.
589,T1,,,,,,,,No. Let both of them study.,,No. Let Seema go as well.
590,T1,"No. Don't beat, ask the reason behind her behavior.",,,No. Talk to friends.,"No. Just a kid, let him play.",No. Let her go if she wants to.,,No. Let both of them study.,,No. Let Seema go as well.
591,T1,,,,No. Shoaib should explain his friends.,No. Vishal will change as he grow up. Let him play.,"No. Let her go out, don't hold har back at home.",No. Let Madhuri continue business. Anil has his own shop.,,No. Sarika should explain Arun that both of them are responsible for the home and they will earn more if she work.,"No. If Seema wish to go, let her go to picnic."
592,T1,No. Beating her is totally wrong.,No. Tushar to explain his father.,,No. Shoaib should explain his friends that their behaviour is wrong. They are like sisters.,No. Let him plat. He will stop it as he grow.,,,,No. Sarika should continue business and explain Arun.,No. Seema also has right to go out.
593,T1,,,,"No. Ganesh should beat, scold those boys",,,,,,
594,T1,,,,No. This is bad habit.Shohib should report this to Principal or his parents.,,,,,,No. Seema's father have a day off on Saturday. He can look after home and baby.
595,T1,No. Suresh should have asked her before getting married.,,,"No. If they are cought misbehaving with girls, they could be rustricated from school.",,,,,,
596,T1,,No. Tushar should counsil and convince his father that violence is wrong,,,,No. Priya can go with her brother.,,,,
597,T1,,"No. If true love is there, beating and violence is inappropriate.",,,,No. Priya can go with her brother.,No. Madhuri should work.,No. Girls have equal right of education and even they have their own studies.,No.They should share their work.,No. Brother has opprtunity to play everyday but Seema's picnic is only once.
598,T1,No.Because she loves her neighbour and not her husband.,Yes. Relocation is right  option.,,No. Such a teasing is wrong. Instead they should focus on studies.,,,,,,No. Both Seema and brother should look after the baby.
599,T1,,,,No. He should counsil his friends.,,No. Priya's brother could have accompany her.,,,No. Sarika should follow her instincts.,No.
600,T1,,,,,,Yes. Either her mother or  brother  should have accompanied her.,"No. If both are earning, in difficult times it will help them.",,,No. They dontallow her to go.
601,T1,,,,,,,,,Yes. She should open her parlour at home. So that she can focus on both work and family.Arun should also do his job.,
602,T1,,,,No. He should counsil his friends to behave.,,No. Her brother should accompany her.,,,,
603,T1,"No, He should not have beaten her up but make her understand.",,,,,,,,,
604,T1,,,,,"No. Even though he is playing with dolls he is still young. As he grows older, he will stop playing with dolls.",,,,,
605,T0,No. Suresh beats up Vineeta. ,,,,No. He is a small boy and therefore should be allowed to play.  ,,No. Madhuri should to to work. ,,,
606,T1,No. Vineeta had an affair with their neighbor. ,,,,,No. She desires to go out,No. Madhuri must also  work to fulfill the family's needs. ,,No. She should do housework and meet their needs,
607,T0,No. She was in love with the neighbor and so he beat her up.,No. Tushar told her mother that they should go to the village. ,No. She likes to be fashionable and so boys whistle on seeing her. ,No. Shoib stares at the girls along his friends every day.,,No. If Priya who is 19 year old steps out of the house then…,,No. Roshni is 19 and her brother is 15. They should take care of the younger children.,No. They are married for 6 months.,No. She has to go to Mahabaleshwar on Saturday and on the same day her mother has to go for work. 
608,T1,No. Because Suresh has affair with others too.,,Yes. No fault of Gauri.,No. Because they are outsider girls.,No. Because he is a good bou but his parents aren't good enough.,,,,,
609,T1,,,No. She likes to wear fashionable clothes that is why I disagree.,No. Because Shoeb goes with his friends.,No. Parents should not think this based on his behavior.,,,No. Both should be allowed to study.,,No. She should be allowed to study.
610,T1,,,,,No. Because he is still young.,,No. She should be allowed to go as her salary is more.,,,No. Her brother can take care of kid for one day.
611,T1,,,,,,,,,No. He should allow her to do business.,
612,T1,,Yes. They both are husband and wife.,,No. Friends are letcher.,,,,No. Girls should also get education.,Yes. Father can also take care of kid.,No. Girls can also work.
613,T1,No. ,Yes.,,No.,No.,,,,,
614,T1,No.,,,,No.,,,,,
615,T1,No. ,,,No. He should talk to his friends.,,No.,,,No.,No. 
616,T1,,Yes.,,,,,,,,
617,T1,,,,No. He should make his friends understand.,,,Yes. Madhuri should work.,No. Roshni should be allowed to study.,No. Seema should be allowed to go on a picnic.,
618,T0,"NO, He should not trust others. If he witnesses it, then he should ask her and solve it along with the family and community. ",,,"NO, Shoaib should tell them to behave properly.",,"NO, Priya's brother could have dropped her to attend the programme.",,,,"No, school trips are rare and her brother can play create on other days."
619,T1,,,,"No, Ganesh should make complaint about his friends to their parents.  ","No, Chetu's parent's mistake is that, they are miser.",,"Yes, both should work.",,,
620,T1,"No, because Pranita should not have behaved like this. ","Yes, because father comes back home drunk and beats (mother). So Sameer says they should go back to their village. But mother disagrees and says that, she can't leave father alone. ",,,,,,,"Yes, Priyanka should work and if she will have a baby then, she will stop working.","No, because Nina wanted to go for picnic and brother should have skipped playing cricket (that day)."
621,T1,,,,"No, because it is illegal to tease girls.","No, because he likes to play with dolls.",,,,"No, because she wants to have a successful career.","Yes, because her brother can take care of children along with playing cricket."
622,T2,"No, he should not beat.",,,"No, should inform teacher.","No, they should not let him play with dolls.","No, both should be allowed to study.",,,,
623,T1,,,,"Yes, because he should tell friends, what they are doing is wrong.",,,,,,
624,T1,,,,,,,,,,
625,T1,,,,"No, because girls should not be harassed.",,,,,,
626,T1,,,,"No, boys should be taught how to behave. Boys should be stopped from behaving ill. Elders should be informed.",,,"No, he should start doing job to earn more money.",,,
627,T1,,,,,"No, this happens in childhood.","No, this is not the only option (to make girls stay at home for their protection.)",,"No, developement of one child should not affect childhood of Rashmi.","No, she should continue her job.",
628,T1,,"Yes, mother is not happy. So, Sameer has said correct thing.",,"No, he should take action against such boys. They should be taught, these girls are like their sisters.",,"No, Nisha should have accompanied to the programme.",,,,
629,T1,,,,"No, such boys should be taught that, these girls are like their sisters.","No, he is very young now, so he should be allowed to play. Afterwards, he should be taught not to play like this.","No, her brother should protect her and drop her to programme and come back home with her.",,,,
630,T1,,,,,,,,"No, Roshni should be allowed to study.",,"No, Seema should be allowed to go to picnic."
631,T1,,,,"No, Ganesh should make them realize about their incorrect behaviour.",,"No, because she is also allowed to go out.",,,,
632,T1,"No, he likes and loves that person.","Yes, I think Tushar's mother loves Tushar's father. ","No, She wants to wear a short.",,,,,,,"No, <Unclear>"
633,T1,,,,No. He should explain his friends.,,,,No. Both should be allowed to study.,,"No. Seema wants to go out, she should be allowed to do so."
634,T0,,,,No.Shoaib travels by bus everyday with his friends.,No. Vishal is 6 yrs old.,,No. Anil & Madhuri work. She should not go to work.,No.Roshni is 14 yrs old.&  has two sisters.,NA,"No.Seema has school on Saturday, but her father tells her."
635,T0,,,,No.Shoaib goes to school daily with his friends by bus. His friends stare at girls. He should explain his friends.,,,NA.,NA,,
636,T0,,,,No.Shoaib travels by bus everyday with his friends.,,,No. Anil & Madhuri work. She should not go to work.,No.Roshni is 14 yrs old.&  has two sisters.,,"No. Seema has school on Saturday, but her father tells her to take care of baby."
637,T1,No. He should make her understand & warn her. Do not beat.,,,No. His friends should not behave like this. Shoaib should not stay calm.,"No. Even if Vishal wears girls clothes, he will still be a man, since he has biological characteristics of a man, so he will be a man.","No. If her brother accompanies her, they will not harass her.",,,No. He can hire domestic help & Sarika can go to work.,
638,T1,No. He should make her understand & warn her. Do not beat.,,,No. His friends should not behave like this. Shoaib may do the same one day. Shoaib should not stay calm.,"No. Even if Vishal wears girls clothes, he will still be a man, since he has biological characteristics of a man, so he will be a man.","No. If her brother accompanies her, they will not harass her.",,,No. He can hire domestic help & Sarika can go to work.,
639,T0,,,,"No. Teasing girls is a crime. If he does not want to loose his friends, he should ask his teachers to punish them.",,No. Her brother can accompany her.,,,,
640,T1,,,,No. He should tell those girls to complain about his friends to her parents.,"No. Even if Vishal plays with dolls, he can become a man when he grows up.",,,,,No. It will be fine if the brother does not play cricket for a day & Seema can go for picnic.
641,T0,,,No. Because she likes to wear fashionable clothes.,No. He should explain his friends.,,No. Nothing will happen in college. Should keep police contact number.,NA.,NA,,
642,T1,,Yes. Tushar thinks his father does not love them & removes his frustration at work by beating up his mother.,,,,,,,No. Sarika should start her business & do take care of her home as well.  ,No. She should be given freedom to do what she loves.
643,T1,Instead of beating if he would have tried to explain it would have been better,,,Shoib doesn’t like when his friends touch their hand or hair. It's not right to harass girls,Vishal is young and that’s why he plays with his sisters,Everybody should be able to do what they want to,Everybody has a right to work / get a job,,,Brother can work for one day. Sister should be allowed to go for the picnic
644,T1,,,,,,,,,,She should be allowed to go for the picnic
645,T1,,,,If we don’t take any action they will take more advantage,,,,,,
646,T1,,,Because she likes to wear fashionable clothes,,,,She should explain to Anil as house is run on her salary,,,
647,T1,,,,Shoib should explain his friends,,,,,,
