"Explanation is related to equality  (Example: Both should do housework, both should work) and prevention of violence and discrimination but not complete or coherent ",,,,,,,,,,,
"Through the explantion the participant acknowledges that a social norm exists but does not challenge the social/gender norms (Example: Boys can look after the child, boys should be given household work)",,,,,,,,,,,
Explanation uses the rights language (Example: right to life) but it is not related the scenario ,,,,,,,,,,,
The participant provides an a action oriented explanation for stopping violence but does not answer the 'why' for stopping violence (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
474,T2,,,"No, Gauri is not at fault here. She wants to study fashion, her family and neighbours should encourage her.",,"No, because Sushil is only 10 years old, he should be allowed to  play those games. His habit can be broken once he's older. ","No, because her brother and her parents should go themselves to protect her.","No, because Madhuri wants to work. If she is doing all the work at home and fulfilling her duties and is happy then she should be allowed to work.","No, because both of them should do household chores and look after their mother and sisters, neithe rof their educations should be affected.","No, because Sarika and Vinod should both take responsibilty at home and should make sure that neithe rof their feelings are hurt.",
475,T2,,,"No - Gauri likes fashionable clothes and she likesto wear them. As it is her right, she wears these clothes and goes out whch is why the boys tease her by whistling at her.",,"No - Sushil likes playing with dolls and his parents are against him playing with dolls, but what his parents say is wrong.",,No - She can tell Vishal that she too has a right to work.,,No - She can explain to Vinod that she to can work.,No - Her brother can look after the child too.
476,T2,,,No - She should wear whatever clothes she likes.,,Yes - He can act according to his will.,,No - They can both earn.,,,"Yes - Instead of going to play, the brother can look after the child."
477,T2,,,,,,,,Yes - Girls and boys should both do household chores.,No - Sarika should do the beauty parlour course and start her own business.,
478,T2,,,,,,,,,No - Becuase Sarika's family should let her work.,"No - Seema should go for the picnic, her brother can take care of the baby and himself."
479,T2,,,,,,,,No - Because they both should do household chores and they both should go to school.,,
480,T2,,,,,,,,,"No - It is wrong, as she has done a course they both can work and earn.",
481,T2,,,No - Becuase if she's interested in wearing fashionable clothes then she can and she should epxlain it to the boys.,,,,,No - Because the mother should make both of them do household chores and send both of them to school.,No - If she likes it she can do it because today even girls can work.,No - Because her older brother can take care of the child.
482,T2,,,,,,,,No - The brother should also be given equal work.,Sarika's family should let her work.,"Yes - Seema should go for the picnic, the older brother can take care of the child and himself."
483,T2,,,"No - Others can think anything, but if Gauri likes to then she can wear whatever clothes.","No - They should stop teasing the girls, he should repeatedly explain it to his friends.",,No - She wants to go to the program so she should be allowed to go.,,No - They both should be given equal work.,,
484,T2,,,,,,,,"No. Roshni & Arun, both should have to do chores",,No. Seema's elder brother should look after the kid.
485,T2,,,No. Because fashion is a human-right,,No. Because this is Sushil's childhood and dolls are what he likes and stopping him from doing what he likes is improper.,No. Priya should fight for her education and her brother is wrong since Priya has her own separate life (Individuality).,,,,No. Seema's brother should have looked after the kid.
486,T2,,,,,,,,,,
487,T2,,,,,,,,No. Because the work Roshni is doing could be done by Arun as well.,No. Because Sarika should also have a job.,"No. Because just like her elder brother plays cricket, she can also go out on a picnic. And her brother can also look after the child."
488,T2,,"Yes. Because seeing his mother being hit, every child will be sad and enraged.",,"No. Because harrasment, both on women and men, is a crime.",No. Because boys nad girls should be let to do whatever they like and they should not be imposed with any restrictions.,"No. Because Priya has the right to go out and in case of safety concerns, Priya's brother can go with her.",No. Because women don't get the opportunity to succeed in careers. They should also get that opportunity as well.,No. Because boys should also help with household chores.,,
489,T2,,,,,,,,,,
490,T2,,,No. Gauri has the right to do fashion.,No. Girls have the right to roam around independently.,Yes. Sushil has the right to play independently.,No. Priya has the right to independently take part in the programme.,No. Both should work so that the home-expenses are properly met.,,,
491,T2,No. Because Vinita has the legal right to chose her partner.,,No. Because fashion is everyone's right.,,,,,"No. Because Arun is older than Roshni. Hence, he should have done the chores.",,No. Seema's brother should have taken care of the child.
492,T2,,,No. Because doing fashion is everyone's right.,,,,,,,No. Seema's brother should have taken care of the child.
493,T2,,,No. Because Gauri has the right to wear any kind of clothing.,No. Because Shohib should not remain silent. He should have respect towards girls and he should help them.,No. Sushil can chose to play with anything which he feels is right. He can play with dolls.,No. Priya should go to the programme as she can look after herself.,,"No. Roshni & Arun should divide the work. This way, each one will get to have their independent time as well.",,
494,T2,,,,,,,,No. Both should have equal schooling and work.,"No. Responsibilities rest with both, Sarika & Vinod.",No. Because if her brother isn't available then her father is there to look after the child.
495,T2,,,No. Because Gauri has the right to fashion.,,,,,,,
496,T2,No. Because she doesn't like Suresh. And she cannot spend her life with someone she doesn't like.,,No. Because change is the rule of nature. And the person who changes as per the present is the only person alive.,,,,"No. Because Vishal should understand the need of his family. With increasing expesnes(inflation), both are required to be working.",,No. Marriage is not only about having a/ taking care of the baby but it is about taking care of the family and Vinod should understand this.,
497,T2,,,,,,,,No. This is wrong because Roshni's mother should also ask her brother to do the chores.,,
498,T2,,,,,,,,,,
499,T2,,,,,,,,,,No. Seema should go for the picnic.
500,T1,,,"No.When she is walking on the street, boys should not whistle and do this.",,,,,No. Her brother is elder than her. He should do the job,,
501,T1,,,No. She should go to the boys place and make him understand or else complain to the police. ,,No. He is young thats why he is playing with dolls. He can play with it. He likes it thats why he plays with them. ,,No. Because she has got the opportunity to work. What will she get by only looking after the house? ,"No.Boys should also do household chores. Household chores are everyones responsibilty. One should sweep, one should cook. This is the  way work should be done.","No. She has the right  to go out and work . If she wants to work, she can work. ",No. She should be able to go for he picnic. Brother can take care of the baby. 
502,T1,,,,,"No. If he plays with dolls, it is not wrong in anyway. His mother has to understand this. ",,,No. This is wrong that only girls have to do work. Her brother can also take care of the baby.,,"No. It is wrong to send their boy to play cricket. Their parents have to understand this. If he does not want to play cricket, then it is alright."
503,T1,,,,,,No. They are wrong. She has the right to live freely. ,,No. Because boys and girls are equal. ,No. She is not only responsible for baby care. She also has the right to work.  ,No. Because they both have equal right to work.
504,T1,No. Pratemeshś father should know that he should not beat and insult his wife. He should love her and stay together ,,,,,,No. They both have equal right to work.,No. They both should do household work equally.,"No. They both should work, be able to support their children and provide education.",No. Manisha can go for a trip  with friends and his brother can decide to not play cricket.
505,T1,,,,,,,,No. She should go to school. She also has the right to education. ,,
506,T1,No. Even she has the right to have an affair. No one says anything when men have affair ,Yes. (Not translated),,,,,,No. ,,
507,T1,,Yes. He should make his father understand. He should tell his father not to beat his mother. Also try to understand his fathers thoughts ,,,,,,No. She should give equal work to both of them and ask both of them to study as well. ,,"No. Brother goes to play cricket , he should be  told to take care of the baby. "
508,T1,,,,,,No. She should go outside. She also has the right.,,No. He can also do the household chores.,,No. (not translated)
509,T1,,,No. She has the right to wear short dress. ,,No. Because he is small . He will stop after a time. ,,,,,No. Should send her for the trip. Her brother can take care of the child. 
510,T1,,,No. It is her choice. Should explain to them. ,,No. Let him play. Still he is too small. (Not clear),,,No. Distribute work among them.,,
511,T1,,,No. It is her right to wear short dresses. She is a human being.,,No. He is a small child. He likes to play with dolls. No on can stiop him to play. ,No. Girls can also protect themselves. ,,,No. Kamal can also take the responsibility. Only man cannot take it.,
512,T1,,Yes. She should explain to her husband and he should understand the fact. ,No. She should give back her answer. Neighbors should help her,,No. They should understand him. ,,,,,
513,T1,,,,,No. He is only 6 year old so he can play with dolls. ,,,No. (Not translated),No. Kamal also should think  of taking responsibility of the house. Mahendra should understand her.,
514,T3,,,"No, every person has right to decide his likes or dislikes. Gauri too can wear clothes as she likes.",,"No, he is still a child. one is considered child till one is 14",Woman can defend herself. We must constact Women Empowerment center,,,"No, Becasue women also have right to do job. She must have right",School arrange trip once in a year. Seem has right to wander & go for a trip. Father must give responsibilioty of taking care of the child to his son
515,T3,There should be no violence. She should clearly say that she loves someone else,,she wears clothes as per her wish. its not her fault,if he stays with his friends then slowly he can make them understand that harassing is wrong,,"No, becasue she should defend herself on her own, her mother, family caanot always be there to escort her",No. Man and woman are equal. that's shy she should also work,,,
516,T3,,,"Gauri has right to wear whatever as per her wish. The boys need to change their attitude, and imagine what if it was their sister in her place",,"No, he is young he doesn't. Once he gros up he will himself not play with dolls",,,"Both have right to education. therefore, the brother should take care of the younger siblings for one day",,
517,T3,,"Yes, becasue he removes all his frustration on mother",,,,,,,,
518,T3,,Yes. Tushar should make his father understand,She should take her father along and make those boys understand,Should make his freinds understand and ask them place their sister in front of them,"he is young, parents should let him play",,,,,
519,T3,,"Yes, Tushar's father harasses, thats why they should go to village",,Shoeb should not keep quiet but complain to their mother,,,"No, Madhuri should say that I will also work and you should also",Boys should also do household chores,Sarika should also go out and work,Seema can go fof the picnic and his brother should take care of the younger sibling
520,T3,,,"like the way we lke to wear jeans, even girls like towear jeans. we can tell this to those boys",Because he is protecting other girls from those boys and also have to listen to those boys. Even if reasons with them they are not understanding. But we can still make those boys,There is nothing wrong in him playing with his sister. He loves his sisters and takes care of them,,Both can work and run the house. Instead Vishal should say now that you have been promoted you should do more work,Her mother thinks that girls should do household chores but now even boys should do household chores,,"because only girlsdo household chores, instead of playing cricket brother can take are of the baby and the sister should for the picnic"
521,T3,Its not Vinitas fault. Suresh cant beat her up listening to other. He should make her understand,,,,,,,Both can do household chores. if boy woirks at home then the sister can also go out study,,
522,T3,,,,,,,"Mahesh should allow her to worl\k, She should also understand how the world works","No, becasue girls should get education","Sarika should get the right to work, She should make her husband understand",She has a right to go on trip
523,T3,,,,,,,Both should work together,Even the brother can take care of the house and younger siblings,,Brother should take care of the baby and she should go for the picnic
524,T3,,,"No, Gauri has right to wear fancy clothes",,He has has right to play whatever he wants,,Both should earn together,"Girsla dn boys are equal, thats why both should do household chores",Both should earn money together,Brother should take care of the house and the younger sibling
525,T3,,,,,He should be allowed to play,,,,she should say that even she has right to work,"there should be no discrimination, she should get rights"
526,T3,,,,,,,,Mother should tellboth of them work otherwise it will be a discrimination,If she wants to start a business she should but also take care of the house,
527,T3,,,,,,,No. she has right to work,"No, both should be asked to work",,"no, brother should be asked to take care"
528,T3,,,Its not her fault. she can dress up as per her wish,,,,,,Sarika should tell her husband that even women have right to work,
529,T3,,,,,,,,Both should be asked to do work,,
530,T3,Its her wish. She is free,,She has right to wear whatever clothes she wants,,,,She has a right to work,Girls have right to education,,
531,T3,She has rights. One should not beat,,She has a right to wear clothes,,"He should be allowed to play, its his wish",,,Both should be asked to do work,She has right to work,
532,T2,,,So she has right to  do fashion.,,Because he likes to play with dolls so he plays.,She can complain to police.,Because she too has right to work.,Because she can give Arun his responsibilities.,,Because  if her brother doesn't go to play cricket ;he can take care of the baby.
533,T2,,,,,,,,,,
534,T2,,,,Even after friends' comments on him; he should explain them or complain about them.,,,Woman can earn and man only looks after various needs and that is enough. ,,,
535,T2,,,Because girl too has right to wear fashionable clothes.,,Though he plays with dolls; his habits will change when he grows up.,,,,,
536,T2,He should not beat.Beating is a kind of vilonece. He should explain her.,,Because she has right to wear the clothes and if the boys the tease she should talk to them.,,,,,,,
537,T2,,,She has the equal right.She should be allowed to wear the cloths she likes.,,,,,,,
538,T2,,,,,,,,,,
539,T2,"Because instead of beating her,he should ask him about the mater.",,Gauri has the right to wear the clothes as she likes.,Shohib should make his friends understand if they don't he should make a complaint about them to their parents.,Because Sushil is a kid so he behaves as per his will. So he plays the dolls.,,,,,
540,T2,No do not beat anyone.we have to take meeting talk with us.,,No because she has freedom to any dress do not tell us donot wear dress any.,,No. It is not correct.He is body. He well grow well than it will not play.,,No this is not correct. He wants to job. He have rights.,No this is not correct because he also has rights to do studies.,No because he have rights to job and housewife have rights. ,
541,T2,,,,,Because he has right to play with dolls with his two sisters.,,Both Vishal and Madhuri earn and so can fulfill family needs.,Roshni too has right to  education.,She has right to take care of the home and children and earn.,
542,T2,,His father beats to the poor mother and thus ventilates his anger thus.,"Girl can wear any kind of dress, but the onlookers perspective should be good.",,,,A woman also should get chance to work and if they both earn; they will live be happy.,,,
543,T2,,,"It is her human right, she can do fashion.",Shohib should explain that their behaviour is wrong and that she is also friend.,It is his human right. He is small.,,,,It is her right to work . She will work and take care of home.,
544,T2,,,She has right to wear clothes as per her choice.,,,,Theseday both man and woman works and it is their right.,Thesedays boys as well as women study and work also. And men can also cook.,,
545,T2,,,,,,,,,,Because her father can also take care of the baby
546,T2,,,,,,,,Because both have responsibility of small brother.,Because it is her right to work and earn.,Because her father can also take care of the baby.
547,T2,,,,,Because he can play anything..No one can stop him.,,,Arun too can take of the baby.,She has right to work.,The brother should take care of small siblings.
548,T2,,Mother can live safe in the village and also can take care of Tushar.,Because she likes to be fashionable and if the boys are teasing more she should complain to the police.,,,"She should go to the program as she has right to go out, wander and no one can take away her right.",,,,
549,T2,,,Because she too is a woman. The boys should change their perspective.,He is right.,,,The woman too has right to work.,Arun too should do the household work.,,
550,T2,,Tushar is right. His father should understand. That wife is not a thing to throw away of beat. This should not be done.,"Whyshould not wear shorts, jeans, t-shirt?",Shohib should report all the incidence to School Principal so that boys will not tease girls.,,,,,,
551,T2,,,Because boys look with bad perspective.,,He can do anything; it is his right.,,It is her right to earn money.,Household work is a collective responsibilty of all household members.,It is her right to work and earn.,
552,T2,,I agree with Tushar. Mother should go to village. Because she is suffering from humilitation and violence.,Gauri should wear clothes as per her choice and also should learn about faishon later.,,,,Because Madhuri works in a good company and women should be allowed to work outside.,,Because it is Sarika's right to do business. Both should work after marriage.,
553,T1,,He also feels that his mother should not be beat up. Tushar is right to say that love should be met by father.,,,"No, he can play with dolls and take care of them.","No, She should tell them she too has the right to go out.",,"No, she also must study, therefore both of them must get equal household chores.",,
554,T1,,,,,,,"No, because one should work for his/her family and husband and wife both must have jobs as well as contribute in household chores.","No, because Roshni and Arun must take responsibility of the house together. They should take care of the little ones and together study after the chores are over.",,
555,T1,,,,,,,,,,
556,T1,,,,,,,,,,
557,T1,,,,,,,,,,
558,T1,,,,,,,,,,
559,T1,,,,,,,,,,
560,T1,,,,,,,,,,
561,T1,,,"No, it is his not her fault, even boy wear revealing clothes but girls never tease them.",,,"No, how many days will she sacrifice her wishes and keep herself unhappy, her brother should accompany her.",,,,
562,T1,,,,,,,,,,
563,T1,,,,,,,,,,
564,T1,,,,,,,,No. Distribute the work equally for both. Focus on study. So I disagree.,"No. They both can take care of home and Sarika, Arun should take care of home. Fulfill family needs.",
565,T1,,Yes. He did right thing to save her from violance.,Yes. Boys should change their behaviour.,,,,,,,
566,T1,,,,,No. Vishal is a kid so he likes it.,,No. Women have right to work.,No. Girls do all household things and Arun did not do anything. Should not be discrimination.,No. She want to start a business and that's her right.,
567,T1,,Yes. Tushar didn't like such beating and insult of her. I agree with Tushar.,,,No. He is a small kid so his age is to play. After schooling he may stop playing with dollls. So I disagree.,,No. She can work. House is owned by both and both should look after it. I disagree.,,,No. Her father should tell elder boy to take care of younger one. She is willing to go to picnic. So I disagree.
568,T1,,"Yes. Tushar's father is beating up his mother, so he is trying to save her by moving to village.",,,"No. He is only six year old kid so he plays. Young or old, a man remains man.",,No. Women also have right to work. Madhuri tells him to take care of home.,,,
569,T1,,,,,,,,,,
570,T1,,,,,"No. Vishal is a small kid, his wish to play with dolls.",,,,,
571,T1,,,,,,,,No. they should both have equal rights and work.,,No. Her elder brother can also take care of younger brother. Why should this happen to girls?
572,T1,,,,,,,,,,
573,T1,,,No. She wears what she like. She has the right to wear what she want as a human.,,No. He is a small kid and can play what he like.,No. Girls can protect themselves.,No. She should get the right to work.,,No. Kamal can work as she aspires. Household responsibilities are to be shared.,No. Her school trip is only once a year. He elder brother can take care of the younger brother.
574,T1,,,,,,,,,,No. Girls have equal rights as boys. Her brother can take care of younger brother.
575,T1,,,,,"No. He is a kid, should not be treated like that.",,,,No. Both can work and maintain the home.,
576,T1,,,,,,,No. It's wrong. Both should work to ensure the family don't face any problems in future.,No. Both have equal rights to share the work and keep up with studies.,,
577,T2,,,No. It's her choice. Boys need to change attitude.,,,,,,,
578,T1,,,,,No. Kids should be allowed to play what they want. How come some things are for men and some for women? Treat them equally.,No. She should be allowed to attend the programme. Society need to treat everyone equally.,,"No. Both should share the work, one can cook, other can baby sit the younger sisters.",,
579,T1,,,,,,"No. If she wanted to attend the programme, why shouldn't she? If her brother is concerned about her safety, he can accompany her.","No. Don't women anything less than men. If she earns more, it will help the family.",,,
580,T1,,,,,,,No. Madhuri should work. This is wrong.,No. She should be allowed to study as well. Mother's behaviour is incorrect.,,
581,T1,,,,,,,,,,No. Father should let Seema go to picnic and ask the elder brother to take care of younger one.
582,T1,,,,,,,,,,
583,T1,,,,Shoaib's friends should not harrase girls. It's wrong.,,,,,,
584,T1,,"Yes. Since mother is getting beaten, so Tushar is right.",,,,,,No. Both of them should study as well as take care of house.,,
585,T1,,,,,,,,,,
586,T1,,,,,,,,,,
587,T1,"No. This is wrong. Instead of beating, she should be counselled.",,"No. Let her dress as she like, it's not a fault.",,,,,No. Share he work equally between them.,,
588,T1,,,,,,,,,,
589,T1,,,,,,,,,,
590,T1,,,"No. Boys tease her, it's wrong.",,,,,,,
591,T1,"No. Don't beat her, understand her, explain her.",,No. She has right to wear what she like.,,,,,No. Share equal work between them.,,
592,T1,,,No. She can wear what she likes. Not her fault.,,,,,"No. Only Roshani should work, is wrong. Both should work as mother is ill",,
593,T1,,,,,"No,Nothing wrong in playing with dolls.",,,No.Shruti's mother should teach shruti as well. ,,
594,T1,,Yes. If Tushar's father is not aggressive then they would have stayed together,No. Gauri likes the fashion. Thus she wears different kinds of attires.,,,,,No. Both girls and boys should share the work. Nowadays girls are on top position as well.,,
595,T1,,,,,,,No. Madhuri should also work because both men and women can do the job and earn for family.,No. Both  should share the work.,,No. Elder brother should look after the young ones instead of playing on ground.
596,T1,,,No. She has freedom to wear what she likes.,"No. He should counsell his friends. If they still continue to misbehave with girls, he should report the complaint to police.",No. He should play and get education as well.,,,,,
597,T1,"No. If we love someone, then we should get married to that person.",,No. Girls have freedom to choose their attire. Boys should be modest.,No. Molesting girls is wrong.,No. Nothing wrong in playing and dressing the dolls.,,,,,
598,T1,,,,,No. Playing is right of  younger children. His parents should not deny his right.,,,"No. As Arun is elder, he should look after the baby and also he should do the cooking.",,
599,T1,,,No. Gauri has right of freedom as it is her own life.,,,,No. Madhuri has equal rights in society. She should continue her work.,No. Arun should manage his time for studies and household work.,,
600,T1,,,,,,,,No. Mother should divide the work among  both of them.,No. Both have equal rights,
601,T1,,,,,,,No.  Madhuri should also  do the job. Both should earn.,,,
602,T1,,,No. Gauri has freedom to choose her attire.,,,,No. Madhuri should continue her work. She has equal right in society.,No. Roshani can't do all the work by  herself. Arun Should also share the work. He should manage time for studies and household.,No. Sarika should follow her instincts and should take an opprtunity to work.,No. Her brother should look after baby.
603,T1,,,,,,,,,,
604,T1,,,,No. Shoib should not keep quiet for then his friends will keep troubling girls. ,,,No. Madhuri should work for women too can earn money like men. He is wrong in his behavior.,"No. Just like boys have a right to study, so do girls. Her mother is wrong. ",No. She should be allowed to take up hairdressing as a profession for that gives her joy.,"No. Just like her brother is allowed to play cricket, she should be allowed to go to the trip."
605,T0,,Yes. Tushar's father beats up his mother and we agree with Tushar,,No. It is a crime to harass women,,,,,,No. Seema's brother should also work.
606,T1,,,,,,,,No. Arun should also work.,,No. She wants to go to the trip and doesn't matter if her brother cannot go out to play one day.
607,T0,,,,,,,Women should also work. Both should work. ,,,
608,T1,,,,,,,,,,
609,T1,,,,,,,,,,
610,T1,,,,,,,,,No. Sarika should be allowed to do business.,
611,T1,,,,,No. Vishal should play with dolls.,,,No. Girls have right to education.,,
612,T1,,,,,,,,,,
613,T1,,,,,,,,,,
614,T1,,,,,,,,,No. Now-a-days women can work. We shouldn't consider women as weak.,
615,T1,,,"No. If Gauri likes to wear fashionable clothes, then it is her right to wear what she wants.",,,,,,,
616,T1,,,,,,,,,,
617,T1,,,,,,,,,,
618,T0,,,,,,,,"NO, because boys should also do household chores and girls should also be taught. If the daughters learn, then progress of the family takes place.",,
619,T1,,,,,,,,,,
620,T1,,,,"Yes, Ganesh did right thing. Boys should not tease girls. ",,,,,,
621,T1,,,,,,,,"No, because Navnath was not given (household) work to do.",,
622,T2,,,,,,,,,,
623,T1,,,,,,,,,"No, because she should have her rights. Asking her to take care of house and children only, is not correct.","Yes, because gender discrimination is not correct."
624,T1,,,,,,,,,,
625,T1,,,,,,,"No, She should do the job. She has equal right to do job.","No, because boy can also do the household chores.","No, because girl can also play cricket and boy should also give sometime to look after baby.","No, they both should work."
626,T1,,,,,,,,,"No, she should do the bussiness.",
627,T1,"No, beating up is not a solution.",,"No, It is important to live as you like.","No, he should break relations with such boys.",,,"No, She should continue her bussiness. It is her own decision.",,,"No, Seema should be able to enjoy her life."
628,T1,,,,,,,,"No, Shruti should go to school and she should also go out.",,"No, they both should be given equal rights and both should be allowed to play."
629,T1,,,,,,,"No, because she has right to work, to achieve success in the society. But, her husband does not like it. But still she should continue working. Because, it is responsibility of both to look after their house. ","No, Navnath should also do household chores, and then focus on his studies.","No, because she has right to work and then look after house.","No, because she wants to go to picnic.Even though her brother is there, she has to bear all this. This is a form of gender discremination."
630,T1,,,,,,,,,,
631,T1,,,,,,,,"No, because Navnath should also be told to do household work. So that it iwll be easier for both.",,"No, because she also has right to go to picnic."
632,T1,,,,,,,,,,
633,T1,,,No. She should be allowed to wear clothes as per her choice. This is her right.,,No. He is young. He still does not understand.,"No. If she feels like going out, she should be allowed to do so.",,,,
634,T0,,,,,,,,,,
635,T0,,"Yes. Father gets irritated, so leave father & stay at village with mother.",,,,,,,,
636,T0,,"Yes. Father gets irritated, so leave father & stay at village with mother.",,,,,,,,
637,T1,,,,,,,"No. She should go to work, or else what will she do staying at home.","No. Girls too have right to education, not just boys.",,No. Even boys can take care of small children.
638,T1,,,,,,,"No. She should go to work, or else what will she do staying at home.","No. Girls too have right to education, not just boys.",,No. Even boys can take care of small children.
639,T0,,,,,,,,No. Girls & boys have same rights. Both should do household work.,No. Sarika should start her business. Both should earn to fulfill household needs.,No. Seema should go for picnic sometimes & her brother should also go to play cricket sometimes. Both should take care of their younger brother together.
640,T1,,,,,,No. She can go out even if she is a girl. She should complain to the police if any one teases her.,No.Both of them should work for their good.,,,
641,T0,,Yes. Because his father beats her everyday.,,,No. He is young. He should play.,,,,,
642,T1,,,,"No. Shoaib should not remain silent. He should provide security to the girls, even though his friends do not stay with him.",,No. Her brother can accompany her. She also has the right to go out.,"Madhuri has right to work. These days both girls, boys work. Anil has to give up his thoughts & allow Madhuri  to work.",,,
643,T1,,,,,,,,Because even the boy can work,,
644,T1,,,,,,,,Both should be told work,,
645,T1,,He inflicts violence unnecessariy so he feels like going to the village,,,,,"There is no difference as such, it can be done by man or woman",He can look after house while studying,,
646,T1,,,,,,Only keeping her home is not the way to protect. She should be allowed to go out,,,,
647,T1,,,,,,,,,,
648,T1,,,,Girls should not tolerate harassment,,,,Arun should also work in the house,,
649,T1,It is not her fault. She does not deserve to be hit,Tushar's father should be counselled. He should not resort to violence,She can do what she likes. It is the boys' fault. They should not tease her,,,,Madhuri should explain to Arun that if they both work together they will have a better future,The parents should share the housework among both,Botth should be able to work,
650,T1,,,,,,,,,,
651,T1,,,,,,,,,,
652,T1,,,,,,,,,,
653,T1,,He is done whatever he feels is right so far. But he should also hear out his wife,,,,,,,,
654,T1,,,"No, She also has a right to wear fancy clother",,,,,Mother should give them equal responsibility and send them to school.,"No, they should send her to the trip","No, Let her start the business and keep the house and the baby."
655,T1,"no, this is wrong, girls should be explained and not beaten",,,,,,,"No, Arjun and Arun should get equal distribution of work.",,
656,T1,,,,,,,"No, Women should work they should not leave the job if they earn more than the man in the family.",,,
657,T1,,,,,vishal is still young he doesn’t understand hot ot behave lika a grown up. He will be nderstanding when he grows up.,,"No, If madhuri wishes to work she hsould work","No, In our country boys and girsl are given equal rights. Gilrs can also wok like boys.",,
658,T1,,,,,,,"No, even madhuri has right to work",No. both have right to study,"no, father can tell the elder nroher to take care of the kid.",No girls can also work they have a right to do so.
659,T1,,,,,,,"No, Madhuri also has a right to work",No the brother can take careof the kid.,no the brother can take care of the kid,"No,Girls can work, theyhave a right to do so."
660,T1,"No, women should not be beaten but made to understand.",,"No, Gauri should be allowed to wear what she wants, its not her fault",,"No, when vishal grows up he will not play with dolls.",,No Mashuri should also work,No both Rashmi and arun should be given equal work.,,
661,T1,,Yes mother should go to the village,,,,,"No, Women should also work. She shold not just keep working at home.",,"No, Brother can also take care of the baby",
662,T2,,,,,,,,Arun should take care of everything at home. He should cook and take care of his mother and sister.,"Sarika should start her own business. If she starts her own business, she can take care of all the responsibilities at home",Seema should be allowed to go to picnic and her elder brother can take care of their baby brother.
663,T0,,,,,,,,,,
664,T0,,"Tushar's father beats his mother, that is why we agree with Tushar's statement.",,,,,,,,
665,T1,,,,,"No, He has a right to play. His parents did not have to do this.",,Women should also have status to work. Both should work.,"If Arun does some work in his house, then nothing happens. He should also work at home.",Sarika has done this work before. She should do this work to fulfil the needs of the family.,"No, Seema should go for Picnic. What happened if her brother takes care of her house"
666,T0,,,,,,,,,,
667,T1,,,"No, This is the age when girls should enjoy. She should not restraint and hurt her feelings.",,,,,,,
668,T1,,,,,He is too small. His age is currently to play.,,,,,
669,T1,,,,,,,,,,
670,T1,,,,,,,,,,
671,T1,,,,,,,,,,
672,T1,,,,,,,,,,
673,T1,,,,No. Shoib should not keep quiet for then his friends will keep troubling girls. ,,,No. Madhuri should work for women too can earn money like men. He is wrong in his behavior.,"No. Just like boys have a right to study, so do girls. Her mother is wrong. ",No. She should be allowed to take up hairdressing as a profession for that gives her joy.,"No. Just like her brother is allowed to play cricket, she should be allowed to go to the trip."
674,T0,,Yes. Tushar's father beats up his mother and we agree with Tushar,,No. It is a crime to harass women,,,,,,No. Seema's brother should also work.
675,T1,,,,,,,,No. Arun should also work.,,No. She wants to go to the trip and doesn't matter if her brother cannot go out to play one day.
676,T0,,,,,,,Women should also work. Both should work. ,"Yes. Arun's sister should cook. Arun should also work. As the mother is ill, he should also look after her. ",,
677,T1,,,,,,,,"Yes.Arun's sister has to cook, Arun should also work. As the mother is ill, he should also contribute. ",,
678,T1,,No son will tolerate his mother being beaten. What if she were to be severely injured due to the beatings? Hence I agree with Prathamesh.,,,,,,(has not responded to 'Yes?No) They should both divide their tasks equally. Akshay should take up more work and Neha should look after the mother. ,,
679,T1,,,,,,,,,,
680,T1,,,No. She can live the way she wants. She has the right to equality but she should keep a lookout. ,,,,,No. Both have equal rights. Both should equally distribute the work equally 50-50 among themselves. Girls also should have the same rights as boys and Akshay's mother should ensure that this is done. ,,
681,T1,,,,,,,No. Both can earn as well as do household chores. ,,,No. I think the brother can also take care of the baby. 
